ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
tet(31)	3000476	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas salmonicida	3.0	0.0	3.0	25.3	312.0	143.67	0	0	0	0				1233	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
ACT-1	3001821	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	11.17	128.0	193.0	0	0	0	0				1146	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
CMY-54	3002065	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	17.71	204.0	180.0	0	0	0	0				1152	CMY beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
OXA-347	3001777	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	26.0	0.0	26.0	91.64	756.0	155.27	0	0	0	0				825	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
Erm(42)	3003106	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	13.0	0.0	13.0	45.14	409.0	104.69	0	0	0	0				906	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	ERR1713331
AIM-1	3000853	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	12.0	0.0	12.0	60.64	553.0	195.58	0	0	0	0				912	AIM beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
catB2	3002675	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	1.0	0.0	1.0	13.9	88.0	179.0	0	0	0	0				633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713331
AAC(6')-Ij	3002557	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter genomosp.	1.0	0.0	1.0	4.99	22.0	57.0	0	0	0	0				441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
dfrB1	3002864	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	56.12	133.0	193.0	0	0	0	0				237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
cmlv	3002700	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces venezuelae	3.0	0.0	3.0	15.48	203.0	71.67	0	0	0	0				1311	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation	ERR1713331
AAC(6')-IIc	3002596	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	39.0	0.0	39.0	100.0	582.0	165.31	0	0	0	0				582	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
PC1 beta-lactamase (blaZ)	3000621	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	47.0	0.0	47.0	22.81	193.0	60.3	0	0	0	0				846	BlaZ beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
AAC(6')-Iae	3002573	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	36.0	0.0	36.0	46.92	259.0	87.44	0	0	0	0				552	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
IMP-11	3002202	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1.0	0.0	1.0	3.39	25.0	34.0	0	0	0	0				738	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
arr-3	3002848	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.0	0.0	14.0	100.0	453.0	179.21	0	0	0	0				453	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	ERR1713331
OXA-198	3001805	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	4.0	0.0	4.0	6.72	53.0	68.5	0	0	0	0				789	OXA beta-lactamase; OXA-198-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
iri	3002884	protein homolog model	CARD	1	100.0	no data	no data	Rhodococcus hoagii	6.0	0.0	6.0	20.07	289.0	159.83	0	0	0	0				1440	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation	ERR1713331
cphA4	3003100	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas allosaccharophila	1.0	0.0	1.0	19.74	151.0	191.0	0	0	0	0				765	CphA beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
tetB(P)	3000195	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	22.0	0.0	22.0	74.07	1451.0	142.09	0	0	0	0				1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
MexC	3000800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	54.0	0.0	54.0	87.29	1016.0	109.59	0	0	0	0				1164	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
lnuB	3002836	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	105.0	0.0	105.0	100.0	804.0	188.97	0	0	0	0				804	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713331
mdtB	3000793	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	260.0	0.0	260.0	100.0	3123.0	133.78	0	0	0	0				3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	ERR1713331
tet(X)	3000205	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	149.0	0.0	149.0	100.0	1167.0	179.53	0	0	0	0				1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation	ERR1713331
APH(3')-Ib	3002642	protein homolog model	CARD	1	100.0	no data	no data	Plasmid RP4	7.0	0.0	7.0	44.0	359.0	179.71	0	0	0	0				816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
adeB	3000775	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	69.0	0.0	69.0	49.61	1542.0	118.67	0	0	0	0				3108	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux	ERR1713331
CRP	3000518	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	82.0	0.0	82.0	100.0	633.0	149.9	0	0	0	0				633	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713331
smeE	3003056	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	643.0	0.0	643.0	96.32	3008.0	117.45	0	0	0	0				3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
ErmC	3000250	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus epidermidis	2.0	0.0	2.0	7.48	55.0	56.5	0	0	0	0				735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
APH(6)-Ib	3002658	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces glaucescens	1.0	0.0	1.0	1.84	17.0	23.0	0	0	0	0				924	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
APH(6)-Ic	3002659	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	25.0	0.0	25.0	48.69	390.0	91.28	0	0	0	0				801	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
LCR-1	3002997	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	10.0	0.0	10.0	57.34	449.0	152.1	0	0	0	0				783	LCR beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
rmtB	3000860	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	3.0	0.0	3.0	9.66	73.0	57.67	0	0	0	0				756	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	ERR1713331
APH(2'')-Ig	3002669	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	2.0	0.0	2.0	13.79	127.0	78.5	0	0	0	0				921	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
ANT(6)-Ia	3002626	protein homolog model	CARD	1	100.0	no data	no data	Exiguobacterium sp.	24.0	0.0	24.0	97.92	846.0	165.58	0	0	0	0				864	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
OXA-5	3001400	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.0	0.0	7.0	67.79	545.0	171.86	0	0	0	0				804	OXA beta-lactamase; OXA-5-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
PER-1	3002363	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	27.0	0.0	27.0	100.0	927.0	194.19	0	0	0	0				927	PER beta-lactamase	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-104	3001636	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.0	0.0	2.0	8.52	70.0	50.5	0	0	0	0				822	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
ErmX	3000596	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pNG2	8.0	0.0	8.0	88.89	760.0	168.5	0	0	0	0				855	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
OXA-129	3001811	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	8.0	0.0	8.0	74.38	598.0	196.75	0	0	0	0				804	OXA beta-lactamase; OXA-5-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-333	3001521	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	1361.0	0.0	1361.0	100.0	825.0	190.2	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
tet(40)	3000567	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	115.0	0.0	115.0	100.0	1221.0	187.53	0	0	0	0				1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
sul2	3000412	protein homolog model	CARD	1	100.0	no data	no data	Vibrio cholerae	34.0	0.0	34.0	99.51	812.0	154.82	0	0	0	0				816	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	ERR1713331
tet(C)	3000167	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas salmonicida	8.0	0.0	8.0	28.55	340.0	125.25	0	0	0	0				1191	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
tet(G)	3000174	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas sp.	53.0	0.0	53.0	100.0	1176.0	166.85	0	0	0	0				1176	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
ugd	3003577	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	50.0	0.0	50.0	98.8	1153.0	139.62	0	0	0	0				1167	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713331
OXA-134	3001695	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lwoffii	12.0	0.0	12.0	79.32	652.0	156.5	0	0	0	0				822	OXA beta-lactamase; OXA-134-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
RCP-1	3003563	protein homolog model	CARD	1	100.0	no data	no data	Rhodobacter capsulatus	33.0	0.0	33.0	98.98	873.0	189.64	0	0	0	0				882	RCP beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
ErmA	3000347	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	2.0	0.0	2.0	22.4	164.0	200.5	0	0	0	0				732	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
ErmG	3000522	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides thetaiotaomicron	40.0	0.0	40.0	100.0	735.0	130.9	0	0	0	0				735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
CGB-1	3000841	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium gleum	23.0	0.0	23.0	8.78	64.0	46.43	0	0	0	0				729	CGB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
EreA	3000361	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	19.0	0.0	19.0	81.65	997.0	191.32	0	0	0	0				1221	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1713331
IND-1	3002256	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	1.0	0.0	1.0	2.78	20.0	46.0	0	0	0	0				720	IND beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
OXA-255	3001690	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter pittii	24.0	0.0	24.0	48.19	399.0	83.08	0	0	0	0				828	OXA beta-lactamase; OXA-143-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
evgA	3000832	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	27.0	0.0	27.0	100.0	615.0	190.33	0	0	0	0				615	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux	ERR1713331
APH(6)-Id	3002660	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	50.0	0.0	50.0	100.0	837.0	175.22	0	0	0	0				837	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
APH(2'')-IIIa	3002636	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	15.0	0.0	15.0	72.64	669.0	191.33	0	0	0	0				921	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
cmlA1	3002693	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	28.57	360.0	199.33	0	0	0	0				1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1713331
AAC(6')-Ib-SK	3002593	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces kanamyceticus	23.0	0.0	23.0	33.15	176.0	60.91	0	0	0	0				531	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
cmlB1	3002699	protein homolog model	CARD	1	100.0	no data	no data	Bordetella bronchiseptica	32.0	0.0	32.0	74.09	938.0	135.69	0	0	0	0				1266	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1713331
catS	3002688	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	15.0	0.0	15.0	100.0	492.0	126.0	0	0	0	0				492	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713331
dfrB3	3003022	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	1.0	0.0	1.0	38.82	92.0	146.0	0	0	0	0				237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
sul1	3000410	protein homolog model	CARD	1	100.0	no data	no data	Vibrio fluvialis	27.0	0.0	27.0	72.02	605.0	165.89	0	0	0	0				840	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	ERR1713331
OXA-37	3001431	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	46.0	0.0	46.0	89.39	716.0	178.39	0	0	0	0				801	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
AAC(6')-31	3002585	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas putida	10.0	0.0	10.0	100.0	519.0	113.1	0	0	0	0				519	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
OXA-420	3003116	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	8.0	0.0	8.0	88.97	750.0	197.75	0	0	0	0				843	OXA beta-lactamase; OXA-58-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
AAC(6')-Ig	3002554	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter haemolyticus	15.0	0.0	15.0	100.0	438.0	144.87	0	0	0	0				438	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
acrB	3000216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	311.0	0.0	311.0	100.0	3150.0	142.14	0	0	0	0				3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
OXA-58	3001611	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	559.0	0.0	559.0	100.0	843.0	185.27	0	0	0	0				843	OXA beta-lactamase; OXA-58-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
ANT(6)-Ib	3002629	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	33.0	0.0	33.0	79.14	679.0	114.73	0	0	0	0				858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
OXA-2	3001397	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	37.0	0.0	37.0	75.12	622.0	176.03	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
tet(39)	3000566	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	8119.0	0.0	8119.0	100.0	1188.0	192.51	0	0	0	0				1188	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
tet(H)	3000175	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	23.0	0.0	23.0	96.09	1156.0	185.43	0	0	0	0				1203	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
MexE	3000803	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	139.0	0.0	139.0	86.35	1075.0	124.34	0	0	0	0				1245	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
APH(3')-VIa	3002652	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	34.0	0.0	34.0	92.44	721.0	169.88	0	0	0	0				780	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
vanR gene in vanD cluster	3002923	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	2.0	0.0	2.0	2.43	17.0	23.0	0	0	0	0				699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
CAU-1	3000855	protein homolog model	CARD	1	100.0	no data	no data	Caulobacter vibrioides	2.0	0.0	2.0	29.43	256.0	141.5	0	0	0	0				870	CAU beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
tet(J)	3000177	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	3.0	0.0	3.0	3.51	42.0	45.33	0	0	0	0				1197	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
EBR-1	3000842	protein homolog model	CARD	1	100.0	no data	no data	Empedobacter brevis	2.0	0.0	2.0	6.78	48.0	45.0	0	0	0	0				708	EBR beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
Erm(31)	3000598	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces venezuelae	1.0	0.0	1.0	2.17	21.0	45.0	0	0	0	0				969	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	ERR1713331
AER-1	3002481	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	21.0	0.0	21.0	100.0	915.0	167.52	0	0	0	0				915	AER beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
